,Year,CO2_Em
0,1949,2206.690829
1,1950,2382.046176
2,1951,2526.687327
3,1952,2473.373964
4,1953,2536.892888
5,1954,2422.25256
6,1955,2684.786146
7,1956,2777.042758
8,1957,2756.562392
9,1958,2703.188545
10,1959,2807.171174
11,1960,2914.008533
12,1961,2942.790633
13,1962,3064.923181
14,1963,3184.516899
15,1964,3316.753148
16,1965,3461.741169
17,1966,3654.178703
18,1967,3749.381715
19,1968,3964.523069
20,1969,4134.686706
21,1970,4261.307787
22,1971,4311.927159
23,1972,4532.007774
24,1973,4721.984594
25,1974,4561.227063
26,1975,4426.421477
27,1976,4694.157203
28,1977,4835.524743
29,1978,4883.910187
30,1979,4946.62713
31,1980,18667.127066295
32,1981,18290.157869779
33,1982,18244.188107851
34,1983,18435.506054662
35,1984,19722.582507813
36,1985,20135.400513561
37,1986,20632.910795564
38,1987,21286.648188568
39,1988,21977.391878484
40,1989,22285.045191762
41,1990,22535.363591313
42,1991,22143.702467822
43,1992,21948.807883476
44,1993,22071.224680111
45,1994,22267.296839751
46,1995,22785.12728636
47,1996,23265.419995802
48,1997,23354.291652889
49,1998,23406.156709568
50,1999,23762.744825907
51,2000,24514.868844757
52,2001,24725.515109671
53,2002,25285.955397789
54,2003,26433.525703869
55,2004,27886.965895202
56,2005,28989.024520559
57,2006,29930.244706212
58,2007,30383.566084494
59,2008,31081.633603719
60,2009,30892.337874657
61,2010,32912.578438892
62,2011,34037.11276708
63,2012,34849.116454819
64,2013,35261.243305564
65,2014,35328.511560585
66,2015,35116.199153644
67,2016,34559.643569553
68,2017,35360.995673584
69,2018,36227.769472819
