,Id,Symbol,Name,Image,Current_Price,Market_Cap,Market_Cap_Rank,Fully_Diluted_Valuation,Total_Volume,High_24H,Low_24H,Price_Change_24H,Price_Change_Percentage_24H,Market_Cap_Change_24H,Market_Cap_Change_Percentage_24H,Circulating_Supply,Total_Supply,Max_Supply,Ath,Ath_Change_Percentage,Ath_Date,Atl,Atl_Change_Percentage,Atl_Date,Roi,Last_Updated,MarketID
0,bitcoin,btc,Bitcoin,https://assets.coingecko.com/coins/images/1/large/bitcoin.png?1547033579,34883.0,653759402456,1,732320398339.0,22687742780,34924.0,33466.0,1313.98,3.91425,26894035129.0,4.29024,18747187.0,21000000.0,21000000.0,64805.0,-46.29788,2021-04-14T11:54:46.763Z,67.81,51222.84414,2013-07-06T00:00:00.000Z,,2021-07-03T21:39:46.935Z,12
1,ethereum,eth,Ethereum,https://assets.coingecko.com/coins/images/279/large/ethereum.png?1595348880,2225.52,259526283608,2,,19913558184,2239.95,2112.79,112.73,5.33576,13988618975.0,5.69714,116546780.624,,,4356.99,-48.91225,2021-05-12T14:41:48.623Z,0.432979,513987.12478,2015-10-20T00:00:00.000Z,"{'times': 84.38266117948953, 'currency': 'btc', 'percentage': 8438.266117948953}",2021-07-03T21:40:02.992Z,38
2,tether,usdt,Tether,https://assets.coingecko.com/coins/images/325/large/Tether-logo.png?1598003707,1.0,62659368956,3,,44488787382,1.01,0.999951,-0.000291513329,-0.02909,-18235871.703178406,-0.02909,62555876181.1193,62555876181.1193,,1.32,-24.29461,2018-07-24T00:00:00.000Z,0.572521,74.95505,2015-03-02T00:00:00.000Z,,2021-07-03T21:05:26.996Z,94
3,binancecoin,bnb,Binance Coin,https://assets.coingecko.com/coins/images/825/large/binance-coin-logo.png?1547034615,301.06,46553784653,4,51373838701.0,982827231,302.63,284.31,16.54,5.81316,2743803241.0,6.26296,154533651.9,170533651.9,170533651.9,686.31,-56.18972,2021-05-10T07:24:17.097Z,0.0398177,755023.69538,2017-10-19T00:00:00.000Z,,2021-07-03T21:39:49.273Z,9
4,cardano,ada,Cardano,https://assets.coingecko.com/coins/images/975/large/cardano.png?1547034860,1.43,45766491487,5,64225878684.0,2578407854,1.43,1.36,0.053828,3.9191,1936669392.0,4.41861,32066390668.4135,45000000000.0,45000000000.0,2.45,-41.65935,2021-05-16T07:44:28.033Z,0.01925275,7310.41604,2020-03-13T02:22:55.044Z,,2021-07-03T21:39:42.849Z,2
5,dogecoin,doge,Dogecoin,https://assets.coingecko.com/coins/images/5/large/dogecoin.png?1547792256,0.248539,32374344435,6,,1244967344,0.251417,0.243427,0.00331548,1.35203,557278501.0,1.75151,130290086346.962,,,0.731578,-66.01303,2021-05-08T05:08:23.458Z,8.69e-05,286011.04494,2015-05-06T00:00:00.000Z,,2021-07-03T21:39:44.439Z,32
6,ripple,xrp,XRP,https://assets.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1605778731,0.681151,31451238377,7,68154566252.0,1756725734,0.684879,0.645859,0.03181561,4.89972,1543481488.0,5.16081,46146927647.0,100000000000.0,100000000000.0,3.4,-80.00045,2018-01-07T00:00:00.000Z,0.00268621,25202.40056,2014-05-22T00:00:00.000Z,,2021-07-03T21:39:50.921Z,104
7,usd-coin,usdc,USD Coin,https://assets.coingecko.com/coins/images/6319/large/USD_Coin_icon.png?1547042389,1.0,25586702717,8,,1442431710,1.01,0.998247,-0.001418519728,-0.1413,94832901.0,0.37201,25511582897.6397,25511582897.6397,,1.17,-14.58682,2019-05-08T00:40:28.300Z,0.891848,12.31125,2021-05-19T13:14:05.611Z,,2021-07-03T21:39:48.437Z,93
8,polkadot,dot,Polkadot,https://assets.coingecko.com/coins/images/12171/large/aJGBjJFU_400x400.jpg?1597804776,15.63,15760872333,9,,429622980,15.74,15.07,0.499208,3.29846,531945059.0,3.49299,1007124260.74835,1088073393.14185,,49.35,-68.34296,2021-05-15T03:59:58.961Z,2.7,479.15417,2020-08-20T05:48:11.359Z,,2021-07-03T21:39:43.223Z,33
9,binance-usd,busd,Binance USD,https://assets.coingecko.com/coins/images/9576/large/BUSD.png?1568947766,1.0,10657413836,10,,2113948097,1.02,0.999029,-0.003581106233,-0.35576,-3981513.169347763,-0.03735,10622694664.26,10622694664.26,,1.15,-13.22453,2020-03-13T02:35:42.953Z,0.901127,11.1459,2021-05-19T13:04:37.445Z,,2021-07-03T21:39:55.187Z,15
