"DateTime","Bulls","Bears","Difference"
"2008-12-29 00:00:00",1,0,1
"2009-01-05 00:00:00",56,0,56
"2009-01-12 00:00:00",20,-4,16
"2009-01-19 00:00:00",13,-8,5
"2009-01-26 00:00:00",1,-11,-10
"2009-02-02 00:00:00",1,-8,-7
"2009-02-09 00:00:00",2,-23,-21
"2009-02-16 00:00:00",2,-19,-17
"2009-02-23 00:00:00",1,-22,-21
"2009-03-02 00:00:00",1,-17,-16
"2009-03-09 00:00:00",1,-8,-7
"2009-03-16 00:00:00",11,-17,-6
"2009-03-23 00:00:00",1,-24,-23
"2009-03-30 00:00:00",1,-25,-24
"2009-04-06 00:00:00",34,-5,29
"2009-04-13 00:00:00",1,-4,-3
"2009-04-20 00:00:00",20,-4,16
"2009-04-27 00:00:00",1,-12,-11
"2009-05-04 00:00:00",41,-10,31
"2009-05-11 00:00:00",1,-4,-3
"2009-05-18 00:00:00",65,0,65
"2009-05-25 00:00:00",64,-20,44
"2009-06-01 00:00:00",47,0,47
"2009-06-08 00:00:00",83,0,83
"2009-06-15 00:00:00",80,0,80
"2009-06-22 00:00:00",66,-12,54
"2009-06-29 00:00:00",82,-1,81
"2009-07-06 00:00:00",79,0,79
"2009-07-13 00:00:00",55,0,55
"2009-07-20 00:00:00",49,0,49
"2009-07-27 00:00:00",31,0,31
"2009-08-03 00:00:00",59,0,59
"2009-08-10 00:00:00",57,0,57
"2009-08-17 00:00:00",15,0,15
"2009-08-24 00:00:00",56,-7,49
"2009-08-31 00:00:00",72,-3,69
"2009-09-07 00:00:00",69,-2,67
"2009-09-14 00:00:00",60,0,60
"2009-09-21 00:00:00",39,-15,24
"2009-09-28 00:00:00",63,-8,55
"2009-10-05 00:00:00",66,-2,64
"2009-10-12 00:00:00",47,-1,46
"2009-10-19 00:00:00",42,-3,39
"2009-10-26 00:00:00",45,-6,39
"2009-11-02 00:00:00",51,0,51
"2009-11-09 00:00:00",67,-2,65
"2009-11-16 00:00:00",72,0,72
"2009-11-23 00:00:00",81,0,81
"2009-11-30 00:00:00",51,-3,48
"2009-12-07 00:00:00",2,-14,-12
"2009-12-14 00:00:00",1,-5,-4
"2009-12-21 00:00:00",0,-2,-2
"2009-12-28 00:00:00",0,-2,-2
"2010-01-04 00:00:00",1,-2,-1
"2010-01-11 00:00:00",1,-4,-3
"2010-01-18 00:00:00",1,-4,-3
"2010-01-25 00:00:00",1,-27,-26
"2010-02-01 00:00:00",2,-18,-16
"2010-02-08 00:00:00",3,-12,-9
"2010-02-15 00:00:00",3,-26,-23
"2010-02-22 00:00:00",3,-2,1
"2010-03-01 00:00:00",2,-11,-9
"2010-03-08 00:00:00",2,-34,-32
"2010-03-15 00:00:00",3,-30,-27
"2010-03-22 00:00:00",4,-37,-33
"2010-03-29 00:00:00",3,-35,-32
"2010-04-05 00:00:00",8,-8,0
"2010-04-12 00:00:00",11,-22,-11
"2010-04-19 00:00:00",9,-13,-4
"2010-04-26 00:00:00",9,-11,-2
"2010-05-03 00:00:00",9,-8,1
"2010-05-10 00:00:00",10,-23,-13
"2010-05-17 00:00:00",9,-16,-7
"2010-05-24 00:00:00",7,-4,3
"2010-05-31 00:00:00",7,-4,3
"2010-06-07 00:00:00",9,-7,2
"2010-06-14 00:00:00",14,-13,1
"2010-06-21 00:00:00",19,-16,3
"2010-06-28 00:00:00",13,-11,2
"2010-07-05 00:00:00",12,-10,2
"2010-07-12 00:00:00",10,-8,2
"2010-07-19 00:00:00",14,-12,2
"2010-07-26 00:00:00",13,-13,0
"2010-08-02 00:00:00",12,-14,-2
"2010-08-09 00:00:00",12,-20,-8
"2010-08-16 00:00:00",14,-13,1
"2010-08-23 00:00:00",10,-8,2
"2010-08-30 00:00:00",13,-14,-1
"2010-09-06 00:00:00",12,-10,2
"2010-09-13 00:00:00",14,-12,2
"2010-09-20 00:00:00",14,-13,1
"2010-09-27 00:00:00",12,-11,1
"2010-10-04 00:00:00",20,-23,-3
"2010-10-11 00:00:00",17,-27,-10
"2010-10-18 00:00:00",10,-10,0
"2010-10-25 00:00:00",15,-13,2
"2010-11-01 00:00:00",14,-18,-4
"2010-11-08 00:00:00",21,-25,-4
"2010-11-15 00:00:00",12,-12,0
"2010-11-22 00:00:00",17,-19,-2
"2010-11-29 00:00:00",14,-14,0
"2010-12-06 00:00:00",16,-20,-4
"2010-12-13 00:00:00",9,-7,2
"2010-12-20 00:00:00",6,-5,1
"2010-12-27 00:00:00",14,-13,1
"2011-01-03 00:00:00",6,-10,-4
"2011-01-10 00:00:00",10,-10,0
"2011-01-17 00:00:00",12,-12,0
"2011-01-24 00:00:00",11,-10,1
"2011-01-31 00:00:00",16,-12,4
"2011-02-07 00:00:00",6,-6,0
"2011-02-14 00:00:00",4,-4,0
"2011-02-21 00:00:00",4,-6,-2
"2011-02-28 00:00:00",18,-16,2
"2011-03-07 00:00:00",6,-5,1
"2011-03-14 00:00:00",8,-8,0
"2011-03-21 00:00:00",6,-6,0
"2011-03-28 00:00:00",6,-5,1
"2011-04-04 00:00:00",13,-12,1
"2011-04-11 00:00:00",9,-9,0
"2011-04-18 00:00:00",20,-19,1
"2011-04-25 00:00:00",6,-7,-1
"2011-05-02 00:00:00",6,-5,1
"2011-05-09 00:00:00",8,-9,-1
"2011-05-16 00:00:00",5,-5,0
"2011-05-23 00:00:00",2,-3,-1
"2011-05-30 00:00:00",3,-3,0
"2011-06-06 00:00:00",4,-3,1
"2011-06-13 00:00:00",11,-10,1
"2011-06-20 00:00:00",8,-9,-1
"2011-06-27 00:00:00",21,-21,0
"2011-07-04 00:00:00",18,-18,0
"2011-07-11 00:00:00",24,-24,0
"2011-07-18 00:00:00",21,-22,-1
"2011-07-25 00:00:00",31,-31,0
"2011-08-01 00:00:00",5,-6,-1
"2011-08-08 00:00:00",11,-10,1
"2011-08-15 00:00:00",11,-11,0
"2011-08-22 00:00:00",13,-13,0
"2011-08-29 00:00:00",2,-2,0
"2011-09-05 00:00:00",5,-4,1
"2011-09-12 00:00:00",6,-7,-1
"2011-09-19 00:00:00",4,-5,-1
"2011-09-26 00:00:00",4,-5,-1
"2011-10-03 00:00:00",4,-4,0
"2011-10-10 00:00:00",2,-3,-1
"2011-10-17 00:00:00",6,-6,0
"2011-10-24 00:00:00",16,-16,0
"2011-10-31 00:00:00",11,-11,0
"2011-11-07 00:00:00",11,-11,0
"2011-11-14 00:00:00",7,-8,-1
"2011-11-21 00:00:00",4,-4,0
"2011-11-28 00:00:00",8,-8,0
"2011-12-05 00:00:00",9,-10,-1
"2011-12-12 00:00:00",7,-9,-2
"2011-12-19 00:00:00",12,-11,1
"2011-12-26 00:00:00",13,-14,-1
"2012-01-02 00:00:00",7,-7,0
"2012-01-09 00:00:00",6,-5,1
"2012-01-16 00:00:00",7,-7,0
"2012-01-23 00:00:00",5,-5,0
"2012-01-30 00:00:00",5,-4,1
"2012-02-06 00:00:00",4,-4,0
"2012-02-13 00:00:00",17,-18,-1
"2012-02-20 00:00:00",10,-10,0
"2012-02-27 00:00:00",5,-5,0
"2012-03-05 00:00:00",3,-3,0
"2012-03-12 00:00:00",8,-8,0
"2012-03-19 00:00:00",4,-4,0
"2012-03-26 00:00:00",5,-5,0
"2012-04-02 00:00:00",2,-2,0
"2012-04-09 00:00:00",6,-6,0
"2012-04-16 00:00:00",3,-2,1
"2012-04-23 00:00:00",2,-2,0
"2012-04-30 00:00:00",2,-1,1
"2012-05-07 00:00:00",1,-1,0
"2012-05-14 00:00:00",2,-2,0
"2012-05-21 00:00:00",1,-1,0
"2012-05-28 00:00:00",1,-1,0
"2012-06-04 00:00:00",1,-1,0
"2012-06-11 00:00:00",1,-2,-1
"2012-06-18 00:00:00",1,-1,0
"2012-06-25 00:00:00",1,-1,0
"2012-07-02 00:00:00",6,-6,0
"2012-07-09 00:00:00",2,-2,0
"2012-07-16 00:00:00",1,-1,0
"2012-07-23 00:00:00",1,-1,0
"2012-07-30 00:00:00",2,-2,0
"2012-08-06 00:00:00",1,-2,-1
"2012-08-13 00:00:00",1,-1,0
"2012-08-20 00:00:00",1,-1,0
"2012-08-27 00:00:00",1,-1,0
"2012-09-03 00:00:00",1,-1,0
"2012-09-10 00:00:00",0,-1,-1
"2012-09-24 00:00:00",1,-2,-1
"2012-10-01 00:00:00",1,-1,0
"2012-10-08 00:00:00",2,-2,0
"2012-10-15 00:00:00",1,-1,0
"2012-10-22 00:00:00",7,-7,0
"2012-10-29 00:00:00",5,-5,0
"2012-11-05 00:00:00",2,-2,0
"2012-11-12 00:00:00",8,-8,0
"2012-11-19 00:00:00",2,-2,0
"2012-11-26 00:00:00",12,-12,0
"2012-12-03 00:00:00",8,-8,0
"2012-12-10 00:00:00",8,-8,0
"2012-12-17 00:00:00",1,-1,0
"2012-12-24 00:00:00",11,-11,0
"2012-12-31 00:00:00",5,-5,0
"2013-01-07 00:00:00",3,-3,0
"2013-01-14 00:00:00",2,-2,0
"2013-01-21 00:00:00",7,-7,0
"2013-01-28 00:00:00",6,-7,-1
"2013-02-04 00:00:00",2,-3,-1
"2013-02-11 00:00:00",2,-3,-1
"2013-02-18 00:00:00",4,-3,1
"2013-02-25 00:00:00",3,-3,0
"2013-03-04 00:00:00",3,-3,0
"2013-03-11 00:00:00",2,-2,0
"2013-03-18 00:00:00",3,-3,0
"2013-03-25 00:00:00",3,-3,0
"2013-04-01 00:00:00",3,-3,0
"2013-04-08 00:00:00",4,-4,0
"2013-04-15 00:00:00",3,-3,0
