"DateTime","Price","Losses","Break Even","Profit"
"2019-08-06 00:00:00",11770.48,1923465,1033956,23803725
"2019-08-07 00:00:00",11766.27,1965749,1613854,23178064
"2019-08-08 00:00:00",11770.46,1807296,852569,24105021
"2019-08-09 00:00:00",11850.81,1857130,807796,24059209
"2019-08-10 00:00:00",11601.89,1860497,1089082,23797305
"2019-08-11 00:00:00",11338.36,2667393,1338206,22755982
"2019-08-12 00:00:00",11397.56,1941810,1922486,22919733
"2019-08-13 00:00:00",11102.39,2556041,1427958,22806273
"2019-08-14 00:00:00",10399.01,4749090,1702865,20260045
"2019-08-15 00:00:00",9974.37,5012810,853224,20835201
"2019-08-16 00:00:00",10154.65,4404772,978048,21342603
"2019-08-17 00:00:00",10242.7,4359937,1076781,21314811
"2019-08-18 00:00:00",10296.17,4473225,1237160,21085399
"2019-08-19 00:00:00",10592.57,4298208,1159434,21378454
"2019-08-20 00:00:00",10766.22,3514527,837698,22490037
"2019-08-21 00:00:00",10337.89,4742076,1786144,20331042
"2019-08-22 00:00:00",10004.53,4838508,1209401,20858479
"2019-08-23 00:00:00",10260.9,4751072,1328360,20844728
"2019-08-24 00:00:00",10171.1,4110101,1439779,21377645
"2019-08-25 00:00:00",10130.49,4549736,1454185,20845230
"2019-08-26 00:00:00",10384.34,4141786,1521677,21221797
"2019-08-27 00:00:00",10210.09,4108780,1555560,21230501
"2019-08-28 00:00:00",9941.21,4460462,1612522,20827369
"2019-08-29 00:00:00",9534.61,5778945,920480,20210921
"2019-08-30 00:00:00",9534.06,6233619,723395,19959346
"2019-08-31 00:00:00",9613.07,5969008,918277,20042725
"2019-09-01 00:00:00",9701.1,5798410,1041603,20116457
"2019-09-02 00:00:00",10111.88,1865974,3559486,21551038
"2019-09-03 00:00:00",10534.79,3912232,1322362,21743878
"2019-09-04 00:00:00",10610.01,3505351,1217817,22288261
"2019-09-05 00:00:00",10567.74,3548845,1420700,22036034
"2019-09-06 00:00:00",10583.28,3536360,1517408,21976585
"2019-09-07 00:00:00",10439.61,3928088,1849838,21275982
"2019-09-08 00:00:00",10441.28,3614846,1662787,21810184
"2019-09-09 00:00:00",10308.23,3805377,1863424,21454009
"2019-09-10 00:00:00",10181.02,3885123,1967469,21238249
"2019-09-11 00:00:00",10063.05,4679955,1579115,20829210
"2019-09-12 00:00:00",10264.58,4655681,1577348,20801736
"2019-09-13 00:00:00",10223.4,3809725,1636913,21623659
"2019-09-14 00:00:00",10353.67,3960919,1796671,21305098
"2019-09-15 00:00:00",10340.56,3895124,1873619,21322369
"2019-09-16 00:00:00",10257.47,4037535,1838016,21239985
"2019-09-17 00:00:00",10225.23,4240222,1882037,20989387
"2019-09-18 00:00:00",10186.55,4429068,1821224,20867140
"2019-09-19 00:00:00",10004.79,4509461,1753144,20783502
"2019-09-20 00:00:00",10193.37,4194845,1697736,21181013
"2019-09-21 00:00:00",10066.13,4550137,1796289,20751819
"2019-09-22 00:00:00",9984.31,5737972,942645,20455687
"2019-09-23 00:00:00",9855,6637826,3802936,16736428
"2019-09-24 00:00:00",8947.3,7125137,3329085,16734992
"2019-09-25 00:00:00",8499.22,7921267,576575,18691969
"2019-09-26 00:00:00",8112.37,8695069,1638411,16835682
"2019-09-27 00:00:00",8096.36,8419788,1050677,17699394
"2019-09-28 00:00:00",8194.74,8196066,1024705,17966969
"2019-09-29 00:00:00",8104.66,8159998,1096082,17958826
"2019-09-30 00:00:00",8054.6,8270107,1298961,17678254
"2019-10-01 00:00:00",8374.81,7926535,1043587,18285379
"2019-10-02 00:00:00",8294.91,7788320,860368,18619968
"2019-10-03 00:00:00",8269.83,7659522,1012519,18627635
"2019-10-04 00:00:00",8144.21,7898264,1427924,17990659
"2019-10-05 00:00:00",8142.38,8001119,1476575,17877432
"2019-10-06 00:00:00",8021.84,7876566,1594540,17912222
"2019-10-07 00:00:00",8062.05,6426059,2860818,18131097
"2019-10-08 00:00:00",8240.45,7783346,1571171,18071575
"2019-10-09 00:00:00",8415.15,6413925,1368884,19659878
"2019-10-10 00:00:00",8569.36,7123495,825140,19519807
"2019-10-11 00:00:00",8546.94,7136703,973380,19381965
"2019-10-12 00:00:00",8355.78,7781109,1404479,18333280
"2019-10-13 00:00:00",8346.38,7506798,1333172,18713677
"2019-10-14 00:00:00",8321.15,7678813,1587418,18331258
"2019-10-15 00:00:00",8278.12,7344681,1577474,18700405
"2019-10-16 00:00:00",8069.59,7893338,1925438,17825159
"2019-10-17 00:00:00",8047.23,8648469,1427818,17582125
"2019-10-18 00:00:00",8004.01,8212112,1809454,17625614
"2019-10-19 00:00:00",8013.87,8672528,1547002,17465216
"2019-10-20 00:00:00",8118.81,8626404,1640805,17463362
"2019-10-21 00:00:00",8268.32,7594837,1993306,18184861
