"DateTime","Price","Out","At","In"
"2019-08-06 00:00:00",11770.48,1564972,1134672,24061502
"2019-08-07 00:00:00",11766.27,1593951,1775501,23388215
"2019-08-08 00:00:00",11770.46,1440616,946070,24378200
"2019-08-09 00:00:00",11850.81,1498362,904467,24322948
"2019-08-10 00:00:00",11601.89,1498280,1216495,24032109
"2019-08-11 00:00:00",11338.36,2388494,1464693,22908394
"2019-08-12 00:00:00",11397.56,1566173,2138004,23079852
"2019-08-13 00:00:00",11102.39,2250357,1592965,22946950
"2019-08-14 00:00:00",10399.01,4702263,1775925,20233812
"2019-08-15 00:00:00",9974.37,4993358,913210,20794667
"2019-08-16 00:00:00",10154.65,4285261,1084552,21355610
"2019-08-17 00:00:00",10242.7,4228724,1220207,21302598
"2019-08-18 00:00:00",10296.17,4350811,1397616,21047357
"2019-08-19 00:00:00",10592.57,4148065,1319499,21368532
"2019-08-20 00:00:00",10766.22,3267721,942767,22631774
"2019-08-21 00:00:00",10337.89,4678406,1754751,20426105
"2019-08-22 00:00:00",10004.53,4758285,1361422,20786681
"2019-08-23 00:00:00",10260.9,4647460,1508096,20768604
"2019-08-24 00:00:00",10171.1,3913133,1649832,21364560
"2019-08-25 00:00:00",10130.49,4418337,1656135,20774679
"2019-08-26 00:00:00",10384.34,3956098,1735577,21193585
"2019-08-27 00:00:00",10210.09,3915437,1777175,21202229
"2019-08-28 00:00:00",9941.21,4308561,1836263,20755529
"2019-08-29 00:00:00",9534.61,5803374,989646,20117326
"2019-08-30 00:00:00",9534.06,6274951,774129,19867280
"2019-08-31 00:00:00",9613.07,5982542,1000937,19946531
"2019-09-01 00:00:00",9701.1,5790002,1149892,20016576
"2019-09-02 00:00:00",10111.88,3962845,1404702,21608951
"2019-09-03 00:00:00",10534.79,3680750,1469778,21827944
"2019-09-04 00:00:00",10610.01,3220750,1385049,22405630
"2019-09-05 00:00:00",10567.74,3265150,1624257,22116172
"2019-09-06 00:00:00",10583.28,3250274,1736764,22043315
"2019-09-07 00:00:00",10439.61,3687501,2102860,21263547
"2019-09-08 00:00:00",10441.28,3333096,1906745,21847976
"2019-09-09 00:00:00",10308.23,3541197,2128987,21452626
"2019-09-10 00:00:00",10181.02,3636218,2240969,21213654
"2019-09-11 00:00:00",10063.05,4538546,1787109,20762625
"2019-09-12 00:00:00",10264.58,4509299,1793918,20731548
"2019-09-13 00:00:00",10223.4,3552318,1867946,21650033
"2019-09-14 00:00:00",10353.67,3720420,2049153,21293115
"2019-09-15 00:00:00",10340.56,3647042,2136325,21307745
"2019-09-16 00:00:00",10257.47,3807181,2087055,21221300
"2019-09-17 00:00:00",10225.23,4030303,2138507,20942836
"2019-09-18 00:00:00",10186.55,4238293,2072881,20806258
"2019-09-19 00:00:00",10004.79,4329908,2004316,20711883
"2019-09-20 00:00:00",10193.37,3980277,1917354,21175963
"2019-09-21 00:00:00",10066.13,4367067,2056960,20674218
"2019-09-22 00:00:00",9984.31,5714932,1056863,20364509
"2019-09-23 00:00:00",9855,6731998,2808411,17636781
"2019-09-24 00:00:00",8947.3,7256052,2229275,17718854
"2019-09-25 00:00:00",8499.22,8047208,604510,18538093
"2019-09-26 00:00:00",8112.37,8858249,540700,17770213
"2019-09-27 00:00:00",8096.36,8537864,1146573,17485422
"2019-09-28 00:00:00",8194.74,8289162,1129614,17768964
"2019-09-29 00:00:00",8104.66,8243375,1211562,17759969
"2019-09-30 00:00:00",8054.6,8347039,1438703,17461580
"2019-10-01 00:00:00",8374.81,7979060,1142873,18133568
"2019-10-02 00:00:00",8294.91,7816138,960332,18492186
"2019-10-03 00:00:00",8269.83,7673237,1138091,18488348
"2019-10-04 00:00:00",8144.21,7923369,1611303,17782175
"2019-10-05 00:00:00",8142.38,8033807,1660526,17660793
"2019-10-06 00:00:00",8021.84,7884135,1805263,17693930
"2019-10-07 00:00:00",8062.05,9249409,222584,17945981
"2019-10-08 00:00:00",8240.45,7778684,1780065,17867343
"2019-10-09 00:00:00",8415.15,6509811,1262941,19669935
"2019-10-10 00:00:00",8569.36,7074808,899488,19494146
"2019-10-11 00:00:00",8546.94,7082569,1084056,19325423
"2019-10-12 00:00:00",8355.78,7801738,1569442,18147688
"2019-10-13 00:00:00",8346.38,7471095,1516343,18566209
"2019-10-14 00:00:00",8321.15,7664233,1793495,18139761
"2019-10-15 00:00:00",8278.12,7284507,1796938,18541115
"2019-10-16 00:00:00",8069.59,7886283,2170767,17586885
"2019-10-17 00:00:00",8047.23,8747374,1573436,17337602
"2019-10-18 00:00:00",8004.01,8242095,2017537,17387548
"2019-10-19 00:00:00",8013.87,8751516,1710142,17223088
"2019-10-20 00:00:00",8118.81,8695258,1814584,17220729
"2019-10-21 00:00:00",8268.32,7551352,2226331,17995321
"2019-10-22 00:00:00",8169.89,7540687,2411287,17849285
"2019-10-23 00:00:00",7703.93,10445044,1887353,15485939
"2019-10-24 00:00:00",7447.22,10844511,552685,16422452
"2019-10-25 00:00:00",8107.53,6548667,3037783,18243352
"2019-10-26 00:00:00",9517.66,4212390,2041127,21587676
"2019-10-27 00:00:00",9460,5622042,1226642,20986327
"2019-10-28 00:00:00",9568.1,5032924,1459528,21374880
"2019-10-29 00:00:00",9332.24,5583953,1475134,20806371
"2019-10-30 00:00:00",9230.05,5329300,1648934,20902588
"2019-10-31 00:00:00",9197.58,5760444,1511388,20638234
"2019-11-01 00:00:00",9190.62,5888419,1499907,20523903
"2019-11-02 00:00:00",9311.95,5505609,1849681,20553047
"2019-11-03 00:00:00",9252.16,5425658,1893502,20619502
"2019-11-04 00:00:00",9359.87,5543451,1977503,20446776
"2019-11-05 00:00:00",9346,5289710,2098610,20602470
"2019-11-06 00:00:00",9362.67,5422299,2133247,20453005
"2019-11-07 00:00:00",9248.38,5338897,2196739,20417309
"2019-11-08 00:00:00",8973.29,5485092,2234922,20216469
"2019-11-09 00:00:00",8806.85,7201667,1298396,19466803
"2019-11-10 00:00:00",8947.46,7026383,1442514,19494476
"2019-11-11 00:00:00",8852.14,5872638,2171395,19948430
"2019-11-12 00:00:00",8722.47,7050985,1649534,19307692
"2019-11-13 00:00:00",8781.01,6847457,1791012,19398730
"2019-11-14 00:00:00",8697.98,6868957,1828209,19357762
"2019-11-15 00:00:00",8583.35,7102336,2054357,18895627
"2019-11-16 00:00:00",8490.73,7462217,2363295,18250281
"2019-11-17 00:00:00",8526.21,7193148,2485550,18444506
"2019-11-18 00:00:00",8306.75,7160229,2549454,18433462
"2019-11-19 00:00:00",8116.25,8273439,2657936,17239722
"2019-11-20 00:00:00",8139.98,8468270,2494487,17157328
"2019-11-21 00:00:00",7785.53,8492323,2542450,17121736
"2019-11-22 00:00:00",7268.47,11824233,1031429,15307163
"2019-11-23 00:00:00",7243.8,11258230,1099407,15830292
"2019-11-24 00:00:00",7126.74,12125652,687998,15407834
"2019-11-25 00:00:00",6973.1,12417548,366983,15485403
"2019-11-26 00:00:00",7196.47,11511984,717689,16071535
"2019-11-27 00:00:00",7277.31,11383987,911277,16021995
"2019-11-28 00:00:00",7526.12,10515535,676050,17089544
"2019-11-29 00:00:00",7648.83,10135981,476929,17696666
"2019-11-30 00:00:00",7654.06,9914321,880208,17530509
"2019-12-01 00:00:00",7418.73,10819953,760477,16778878
"2019-12-02 00:00:00",7317.86,10865229,1123176,16430302
"2019-12-03 00:00:00",7340.64,10914543,1205917,16310914
"2019-12-04 00:00:00",7437.72,10086526,1221130,17157596
"2019-12-05 00:00:00",7334.41,11461099,1063346,15971530
"2019-12-06 00:00:00",7465.83,10622123,1605145,16279041
"2019-12-07 00:00:00",7571.81,10080544,1340102,17059304
"2019-12-08 00:00:00",7504.66,10126628,1516870,16835391
"2019-12-09 00:00:00",7481.73,9986542,1539879,16972600
"2019-12-10 00:00:00",7290.03,10719377,1602913,16139585
"2019-12-11 00:00:00",7225.94,11282748,1146138,15983615
"2019-12-12 00:00:00",7206.66,11123371,1300823,15932809
"2019-12-13 00:00:00",7253.74,10990278,1406852,15994014
"2019-12-14 00:00:00",7158.46,10947838,1447420,15993766
"2019-12-15 00:00:00",7117.65,11910177,861887,15636742
"2019-12-16 00:00:00",7020.83,11417447,1208762,15718069
"2019-12-17 00:00:00",6766.79,12227540,623955,15496279
"2019-12-18 00:00:00",6946.48,9859074,2599539,15746358
"2019-12-19 00:00:00",7217.32,10283276,1514152,16433985
"2019-12-20 00:00:00",7164.31,10788535,1490357,15973173
"2019-12-21 00:00:00",7173.34,10499441,1645783,16145450
"2019-12-22 00:00:00",7335.29,9852962,896068,17586355
"2019-12-23 00:00:00",7484.97,9296422,1055060,17999150
"2019-12-24 00:00:00",7302.46,10305157,1545934,16506807
"2019-12-25 00:00:00",7206.41,10498238,1644957,16233758
"2019-12-26 00:00:00",7304.83,10506379,1766547,16116433
"2019-12-27 00:00:00",7164.54,10463214,1867217,16080522
"2019-12-28 00:00:00",7310.85,10313312,1872093,16242370
"2019-12-29 00:00:00",7417.99,10101522,1752686,16622535
"2019-12-30 00:00:00",7319.43,9706059,1837743,16959289
"2019-12-31 00:00:00",7233.59,10432532,1981590,16107802
"2020-01-01 00:00:00",7219.49,10797142,1695371,16026323
"2020-01-02 00:00:00",7085.34,10577029,1919081,16042702
"2020-01-03 00:00:00",7144.87,10023010,2465487,16036366
"2020-01-04 00:00:00",7342.18,9941119,1808456,16771804
"2020-01-05 00:00:00",7415.75,9472104,1717327,17364162
"2020-01-06 00:00:00",7577.37,7074906,2484729,19028883
"2020-01-07 00:00:00",7977.6,8360079,722837,19502231
"2020-01-08 00:00:00",8166.31,6879584,949365,20779262
"2020-01-09 00:00:00",7902.08,7874997,1268141,19481800
"2020-01-10 00:00:00",7937.31,8595855,1036601,18987060
"2020-01-11 00:00:00",8145.65,7072891,1510930,20088105
"2020-01-12 00:00:00",8076.77,7498050,1947902,19274138
"2020-01-13 00:00:00",8128.89,7055531,1814571,19890878
"2020-01-14 00:00:00",8490.24,4437083,2459690,21896231
"2020-01-15 00:00:00",8724.99,5837675,708923,22228637
"2020-01-16 00:00:00",8716.67,5947535,867772,21986003
"2020-01-17 00:00:00",8835.17,5988193,1111916,21735954
"2020-01-18 00:00:00",8890.96,5722136,721658,22412449
"2020-01-19 00:00:00",8842.77,5517094,897514,22489905
"2020-01-20 00:00:00",8629.44,6112590,1303901,21523057
"2020-01-21 00:00:00",8625.83,6384322,1329410,21226326
"2020-01-22 00:00:00",8688.08,5942455,1473438,21513850
"2020-01-23 00:00:00",8485.96,6286663,1488488,21140242
"2020-01-24 00:00:00",8371.67,7325347,1135416,20447000
"2020-01-25 00:00:00",8353.87,7340957,1265130,20309107
"2020-01-26 00:00:00",8453.95,7462877,1323556,20105516
"2020-01-27 00:00:00",8781.69,6198580,1360978,21365909
"2020-01-28 00:00:00",9149.99,5400382,803780,22709235
"2020-01-29 00:00:00",9331.72,4698962,834493,23366899
"2020-01-30 00:00:00",9371.49,4964451,1123957,22863820
"2020-01-31 00:00:00",9363.62,4609732,994483,23341724
"2020-02-01 00:00:00",9376.24,4704469,1234520,23019794
"2020-02-02 00:00:00",9319.53,4749638,1390903,22786365
"2020-02-03 00:00:00",9418.24,4618692,1405518,22919304
"2020-02-04 00:00:00",9218.32,4890892,1614762,22404868
"2020-02-05 00:00:00",9456.63,4458817,666156,23770158
"2020-02-06 00:00:00",9693.23,4413518,825439,23677143
"2020-02-07 00:00:00",9790.17,4237526,661185,24040159
"2020-02-08 00:00:00",9800.76,4219861,800170,23876838
"2020-02-09 00:00:00",10021.69,3947078,966800,24015117
"2020-02-10 00:00:00",9973.13,4376922,159004,24425757
"2020-02-11 00:00:00",10043.38,0,4287932,24711028
"2020-02-12 00:00:00",10362.99,3102967,843292,25049923
"2020-02-13 00:00:00",10290.78,3031011,864764,25136860
"2020-02-14 00:00:00",10245.52,3240936,1180764,24613820
"2020-02-15 00:00:00",10089.24,4408008,297037,24372691
"2020-02-16 00:00:00",9838.5,4594609,1068411,23447382
"2020-02-17 00:00:00",9720.58,5708549,1822696,21598583
"2020-02-18 00:00:00",9946.56,4722990,301158,24119579
"2020-02-19 00:00:00",9820.11,4773004,2815308,21555867
"2020-02-20 00:00:00",9550.7,5593486,844131,22721217
"2020-02-21 00:00:00",9674.12,5447421,1055738,22654517
"2020-02-22 00:00:00",9649.03,4944552,1448211,22782657
"2020-02-23 00:00:00",9840.64,4918463,1560498,22757033
"2020-02-24 00:00:00",9757.53,5579776,2188173,21505240
"2020-02-25 00:00:00",9470.22,5160063,1489761,22632023
"2020-02-26 00:00:00",9016.02,7854156,2521226,18956650
"2020-02-27 00:00:00",8759.79,8151516,911432,20294072
"2020-02-28 00:00:00",8678.96,7648686,1165676,20571251
"2020-02-29 00:00:00",8680.47,7803548,1288830,20302182
"2020-03-01 00:00:00",8610.14,8260159,1353994,19822541
"2020-03-02 00:00:00",8752.79,7556882,702034,21220839
"2020-03-03 00:00:00",8810.63,7321505,1145752,21020417
"2020-03-04 00:00:00",8777.37,7513332,1684541,20285573
"2020-03-05 00:00:00",8976.29,7349254,1590512,20565475
"2020-03-06 00:00:00",9099.31,6753085,1012399,21772022
"2020-03-07 00:00:00",9052.88,6509392,1042127,22008440
"2020-03-08 00:00:00",8476.67,9102866,1404578,19101320
"2020-03-09 00:00:00",7932.58,11615465,2544686,15489366
"2020-03-10 00:00:00",7961.61,10580894,1424679,17661763
"2020-03-11 00:00:00",7806.64,10548650,1514663,17611602
"2020-03-12 00:00:00",6360.19,14111971,3432669,12153860
"2020-03-13 00:00:00",4966.74,17532090,314093,11870583
"2020-03-14 00:00:00",5367.43,16401212,799715,12550715
"2020-03-15 00:00:00",5537.92,13919642,2676531,13111808
"2020-03-16 00:00:00",4909.58,17430855,4766241,7482991
"2020-03-17 00:00:00",5256.17,16495727,1150071,12071610
"2020-03-18 00:00:00",5237.87,15939324,1341716,12455750
"2020-03-19 00:00:00",5843.66,13772714,2071689,13953323
"2020-03-20 00:00:00",6311.87,13794157,2211085,13844074
"2020-03-21 00:00:00",6168.22,13906572,2290510,13726385
"2020-03-22 00:00:00",6082.91,13728442,2488661,13722541
"2020-03-23 00:00:00",6159.1,15385738,1377887,13211331
"2020-03-24 00:00:00",6632.07,12960109,2798046,14261671
"2020-03-25 00:00:00",6731.65,12624873,2887208,14529462
